Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
DESOMIX;Naatriumdikloroisotsüanuraat dihüdraat;51580-86-0;Tooteliik 4;31.12.2024;ESTKO AS;8,5% (aktiivkloor 4,7%);Kutsealaseks kasutamiseks
VISSI-TIPP;Jood polüvinüül-pürrolidoon / PVP jood;25655-41-8;Tooteliik 3;1.09.2018;ESTKO AS;3 g/kg;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) nr 94/2014"
OKSOON;Vesinikperoksiid;7722-84-1;"Tooteliik 4; Alates 04.02.2008:; Tooteliik 2, 4 ; Alates 24.03.2017:; Tooteliik 4";1.02.2020;ESTKO AS;0,35;"Kutsealaseks kasutamiseks; Riikliku loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
EPIDES;"1) Piimhape; 2) Etanool; 3) Propaan-2-ool / isopropanool";"1) 79-33-4; 2) 64-17-5; 3) 67-63-0";Tooteliik 2, 4;31.12.2024;ESTKO AS;"1) 30 g/kg; 2+3) 250g/kg";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4); 3) Komisjoni rakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
FOAMDEX;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4;1.01.2022;ESTKO AS;aktiivkloor 3,5%;"Kutsealaseks kasutamiseks; Riikliku loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
DIKLO;Naatriumdikloroisotsüanuraat dihüdraat;51580-86-0;Tooteliik 4;31.12.2024;ESTKO AS;aktiivkloor 56%;Kutsealaseks kasutamiseks
KÄTEdeso;"1) Etanool; 2) Propaan-2-ool / isopropanool; Alates 12.06.2017; Etanool";"1) 64-17-5; 2) 67-63-0; Alates 12.06.2017; 64-17-5";Tooteliik 1;31.12.2024;ESTKO AS;"1) >30%; 2) 5-15%; Alates 12.06.2017; 73,5%";"Tavatarbija ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
DESO;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4;1.01.2022;ESTKO AS;aktiivkloor 3,5%;"Kutsealaseks kasutamiseks; Riikliku loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
MELKO-D;Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;ESTKO AS;aktiivkloor 3,5%;"Kutsealaseks kasutamiseks; Riikliku loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
PINDEK;"Kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüülkloriidid; Alates 27.07.2015:; C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16))";"68391-01-5; Alates 27.07.2015:; 68424-85-1";Tooteliik 2, 4;31.12.2024;ESTKO AS;25 g/kg;Kutsealaseks kasutamiseks
